AmerSur-G2,AmerSur-G3,Asia1-G1,Asia1-G2,Asia1-G3,Asia1-G4,Asia2-G1,Asia2-G2,Asia2-G3,Asia2-G4,Australia-G1,Australia-G2,Australia-G3,Australia-G4,Australia-G5,USA-G1,USA-G2,USA-G3,USA-G4,USA-G5
0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.8987342,0.1012658,0.0,0.0,0.0
0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.8773585,0.1226415,0.0,0.0,0.0
0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.8809524,0.1190476,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.8208955,0.1791045,0.0,0.0,0.0
1.0,0.0,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.6683168,0.3316832,0.0,0.0,0.0
,,0.7142857,0.2857143,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,0.6267281,0.3732719,0.0,0.0,0.0
,,0.7142857,0.2857143,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5289256,0.4710744,0.0,0.0,0.0
,,0.625,0.375,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.459144,0.540856,0.0,0.0,0.0
0.0,0.0,0.6363636,0.3636364,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.4246575,0.5753425,0.0,0.0,0.0
0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.8571429,0.1428571,0.0,0.0,0.0,0.4166667,0.5833333,0.0,0.0,0.0
0.3333333,0.0,0.4166667,0.5,0.0,0.08333333,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.4125874,0.5874126,0.0,0.0,0.0
0.2857143,0.0,0.375,0.5625,0.0,0.0625,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.4528302,0.5471698,0.0,0.0,0.0
0.3636364,0.0,0.3888889,0.5555556,0.0,0.05555556,1.0,0.0,0.0,0.0,0.7647059,0.2352941,0.0,0.0,0.0,0.4542729,0.5457271,0.0,0.0,0.0
0.5,0.0,0.3529412,0.5882353,0.0,0.05882353,1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.4044118,0.5955882,0.0,0.0,0.0
0.65,0.0,0.5294118,0.4117647,0.0,0.05882353,1.0,0.0,0.0,0.0,0.7631579,0.2368421,0.0,0.0,0.0,0.3426926,0.6573074,0.0,0.0,0.0
0.6666667,0.0,0.5789474,0.4210526,0.0,0.0,1.0,0.0,0.0,0.0,0.725,0.275,0.0,0.0,0.0,0.3195876,0.6804124,0.0,0.0,0.0
0.7419355,0.0,0.6153846,0.3846154,0.0,0.0,1.0,0.0,0.0,0.0,0.6097561,0.3902439,0.0,0.0,0.0,0.2908297,0.7091703,0.0,0.0,0.0
0.7297297,0.0,0.5666667,0.4333333,0.0,0.0,1.0,0.0,0.0,0.0,0.5686275,0.4313725,0.0,0.0,0.0,0.2648172,0.7351828,0.0,0.0,0.0
0.7222222,0.0,0.5666667,0.4333333,0.0,0.0,1.0,0.0,0.0,0.0,0.442623,0.5409836,0.01639344,0.0,0.0,0.2662671,0.7337329,0.0,0.0,0.0
0.7222222,0.0,0.4571429,0.5142857,0.02857143,0.0,1.0,0.0,0.0,0.0,0.4482759,0.5402299,0.01149425,0.0,0.0,0.2720695,0.7279305,0.0,0.0,0.0
0.7741935,0.0,0.4545455,0.5151515,0.03030303,0.0,1.0,0.0,0.0,0.0,0.394958,0.5966387,0.008403361,0.0,0.0,0.2603659,0.7396341,0.0,0.0,0.0
0.7083333,0.0,0.4347826,0.5217391,0.04347826,0.0,1.0,0.0,0.0,0.0,0.3947368,0.5986842,0.006578947,0.0,0.0,0.2611026,0.7388974,0.0,0.0,0.0
0.7619048,0.0,0.4375,0.5,0.0625,0.0,1.0,0.0,0.0,0.0,0.3630952,0.6309524,0.005952381,0.0,0.0,0.2486772,0.7513228,0.0,0.0,0.0
0.7619048,0.0,0.4782609,0.4782609,0.04347826,0.0,1.0,0.0,0.0,0.0,0.3631285,0.6368715,0.0,0.0,0.0,0.2293408,0.7706592,0.0,0.0,0.0
0.6875,0.0,0.6842105,0.3157895,0.0,0.0,1.0,0.0,0.0,0.0,0.3503185,0.6496815,0.0,0.0,0.0,0.2352941,0.7647059,0.0,0.0,0.0
0.7142857,0.0,0.7272727,0.2727273,0.0,0.0,1.0,0.0,0.0,0.0,0.3700787,0.6299213,0.0,0.0,0.0,0.256262,0.743738,0.0,0.0,0.0
0.8125,0.0,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.371134,0.628866,0.0,0.0,0.0,0.2606589,0.7393411,0.0,0.0,0.0
0.8888889,0.0,0.7826087,0.2173913,0.0,0.0,1.0,0.0,0.0,0.0,0.4366197,0.5633803,0.0,0.0,0.0,0.2854054,0.7145946,0.0,0.0,0.0
1.0,0.0,0.9375,0.0625,0.0,0.0,1.0,0.0,0.0,0.0,0.44,0.56,0.0,0.0,0.0,0.2945946,0.7054054,0.0,0.0,0.0
1.0,0.0,0.9090909,0.09090909,0.0,0.0,,,,,0.4146341,0.5853659,0.0,0.0,0.0,0.2583201,0.7416799,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.2522659,0.7477341,0.0,0.0,0.0
0.8888889,0.1111111,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4166667,0.5833333,0.0,0.0,0.0,0.2595109,0.7404891,0.0,0.0,0.0
0.9,0.1,0.6666667,0.3333333,0.0,0.0,1.0,0.0,0.0,0.0,0.2857143,0.7142857,0.0,0.0,0.0,0.2219388,0.7780612,0.0,0.0,0.0
0.9,0.1,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.3478261,0.6521739,0.0,0.0,0.0,0.1899441,0.8100559,0.0,0.0,0.0
0.9,0.1,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.3103448,0.6896552,0.0,0.0,0.0,0.1962096,0.8037904,0.0,0.0,0.0
0.8888889,0.1111111,0.1428571,0.8571429,0.0,0.0,1.0,0.0,0.0,0.0,0.3529412,0.6470588,0.0,0.0,0.0,0.1466965,0.8533035,0.0,0.0,0.0
1.0,0.0,0.1428571,0.8571429,0.0,0.0,1.0,0.0,0.0,0.0,0.4054054,0.5945946,0.0,0.0,0.0,0.1217494,0.8782506,0.0,0.0,0.0
1.0,0.0,0.09090909,0.9090909,0.0,0.0,1.0,0.0,0.0,0.0,0.425,0.575,0.0,0.0,0.0,0.1104061,0.8895939,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4594595,0.5405405,0.0,0.0,0.0,0.1445312,0.8554688,0.0,0.0,0.0
1.0,0.0,0.09090909,0.9090909,0.0,0.0,1.0,0.0,0.0,0.0,0.4871795,0.5128205,0.0,0.0,0.0,0.15,0.85,0.0,0.0,0.0
